Overriding config with config/train_shakespeare_char_mac.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 80
log_interval = 1 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 2000
lr_decay_iters = 2000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'mps'  # run on cpu only
compile = False # do not torch compile the model

Overriding: n_head = 4
Overriding: n_layer = 6
tokens per iteration will be: 16,384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 287: loss 1.9116, time 443.66ms, mfu 0.83%
iter 288: loss 1.9363, time 443.55ms, mfu 0.83%
iter 289: loss 1.9316, time 442.79ms, mfu 0.83%
iter 290: loss 1.8924, time 441.16ms, mfu 0.83%
iter 291: loss 1.9342, time 442.13ms, mfu 0.84%
iter 292: loss 1.9227, time 441.36ms, mfu 0.84%
iter 293: loss 1.9339, time 442.47ms, mfu 0.84%
iter 294: loss 1.9178, time 442.96ms, mfu 0.84%
iter 295: loss 1.8835, time 441.64ms, mfu 0.84%
iter 296: loss 1.8939, time 443.14ms, mfu 0.84%
iter 297: loss 1.8719, time 442.12ms, mfu 0.84%
iter 298: loss 1.8863, time 442.96ms, mfu 0.84%
iter 299: loss 1.9053, time 442.34ms, mfu 0.84%
iter 300: loss 1.8974, time 441.66ms, mfu 0.84%
iter 301: loss 1.8777, time 442.68ms, mfu 0.84%
iter 302: loss 1.9028, time 442.78ms, mfu 0.84%
iter 303: loss 1.8813, time 442.54ms, mfu 0.84%
iter 304: loss 1.8866, time 442.35ms, mfu 0.84%
iter 305: loss 1.9147, time 442.44ms, mfu 0.84%
iter 306: loss 1.8740, time 441.69ms, mfu 0.84%
iter 307: loss 1.8904, time 442.72ms, mfu 0.84%
iter 308: loss 1.8681, time 442.06ms, mfu 0.84%
iter 309: loss 1.8901, time 444.23ms, mfu 0.84%
iter 310: loss 1.8531, time 441.37ms, mfu 0.84%
iter 311: loss 1.8420, time 441.89ms, mfu 0.84%
iter 312: loss 1.8535, time 442.15ms, mfu 0.84%
iter 313: loss 1.8741, time 441.89ms, mfu 0.84%
iter 314: loss 1.8745, time 442.92ms, mfu 0.84%
iter 315: loss 1.8978, time 443.08ms, mfu 0.84%
iter 316: loss 1.8332, time 443.16ms, mfu 0.84%
iter 317: loss 1.8733, time 442.09ms, mfu 0.84%
iter 318: loss 1.8772, time 443.42ms, mfu 0.84%
iter 319: loss 1.8507, time 441.62ms, mfu 0.84%
iter 320: loss 1.8789, time 442.25ms, mfu 0.84%
iter 321: loss 1.8552, time 443.39ms, mfu 0.84%
iter 322: loss 1.8565, time 443.37ms, mfu 0.84%
iter 323: loss 1.8616, time 441.87ms, mfu 0.84%
iter 324: loss 1.8655, time 441.62ms, mfu 0.84%
iter 325: loss 1.8260, time 440.90ms, mfu 0.84%
iter 326: loss 1.8569, time 441.05ms, mfu 0.84%
iter 327: loss 1.8389, time 441.26ms, mfu 0.84%
iter 328: loss 1.8665, time 442.25ms, mfu 0.84%
iter 329: loss 1.8509, time 441.96ms, mfu 0.84%
iter 330: loss 1.8509, time 442.27ms, mfu 0.84%
iter 331: loss 1.8296, time 441.55ms, mfu 0.84%
iter 332: loss 1.8326, time 442.04ms, mfu 0.84%
iter 333: loss 1.8318, time 441.90ms, mfu 0.84%
iter 334: loss 1.8281, time 442.15ms, mfu 0.84%
iter 335: loss 1.8325, time 442.16ms, mfu 0.84%
iter 336: loss 1.8382, time 441.85ms, mfu 0.84%
iter 337: loss 1.8153, time 442.06ms, mfu 0.84%
iter 338: loss 1.8125, time 442.87ms, mfu 0.84%
iter 339: loss 1.8284, time 443.25ms, mfu 0.84%
iter 340: loss 1.8307, time 441.55ms, mfu 0.84%
iter 341: loss 1.7982, time 442.33ms, mfu 0.84%
iter 342: loss 1.7865, time 441.92ms, mfu 0.84%
iter 343: loss 1.8411, time 443.32ms, mfu 0.84%
